experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
25%;graph;user;3;wcn;highest-similarity;0,845744681;0,52393617;0,09929078
25%;graph;user;3;wpa;highest-similarity;0,837765957;0,521276596;0,093306738
25%;graph;user;5;aa;highest-similarity;0,968085106;0,479787234;0,316799645
25%;graph;user;5;cn;highest-similarity;0,960106383;0,515957447;0,259929078
25%;graph;user;5;ew;highest-similarity;0,941489362;0,563829787;0,225044326
25%;graph;user;5;jn;highest-similarity;0,986702128;0,607978723;0,233953901
25%;graph;user;5;pa;highest-similarity;0,960106383;0,470744681;0,329654255
25%;graph;user;5;waa;highest-similarity;0,906914894;0,527659574;0,09929078
25%;graph;user;5;wcn;highest-similarity;0,906914894;0,527659574;0,09929078
25%;graph;user;5;wpa;highest-similarity;0,901595745;0,526595745;0,093306738
25%;graph;user;10;aa;highest-similarity;0,997340426;0,530851064;0,316799645
25%;graph;user;10;cn;highest-similarity;0,994680851;0,535638298;0,259929078
25%;graph;user;10;ew;highest-similarity;0,997340426;0,557978723;0,225044326
25%;graph;user;10;jn;highest-similarity;1;0,561170213;0,233953901
25%;graph;user;10;pa;highest-similarity;0,994680851;0,532180851;0,329654255
25%;graph;user;10;waa;highest-similarity;0,994680851;0,556382979;0,09929078
25%;graph;user;10;wcn;highest-similarity;0,994680851;0,556382979;0,09929078
25%;graph;user;10;wpa;highest-similarity;0,994680851;0,556382979;0,093306738
25%;graph;user;3;aa;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;cn;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;ew;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;jn;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;pa;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;waa;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;wcn;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;3;wpa;simple_voting;0,731382979;0,243794326;0,222207447
25%;graph;user;5;aa;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;cn;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;ew;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;jn;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;pa;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;waa;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;wcn;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;5;wpa;simple_voting;0,731382979;0,146276596;0,222207447
25%;graph;user;10;aa;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;cn;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;ew;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;jn;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;pa;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;waa;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;wcn;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;10;wpa;simple_voting;0,731382979;0,074465974;0,222207447
25%;graph;user;3;aa;weighted_voting;0,968085106;0,764184397;0,489583333
25%;graph;user;3;cn;weighted_voting;0,968085106;0,764184397;0,489583333
25%;graph;user;3;ew;weighted_voting;0,970744681;0,773049645;0,4375
25%;graph;user;3;jn;weighted_voting;0,968085106;0,764184397;0,489583333
25%;graph;user;3;pa;weighted_voting;0,968085106;0,764184397;0,489583333
25%;graph;user;3;waa;weighted_voting;0,968085106;0,764184397;0,441710993
25%;graph;user;3;wcn;weighted_voting;0,968085106;0,764184397;0,441710993
25%;graph;user;3;wpa;weighted_voting;0,968085106;0,764184397;0,441710993
25%;graph;user;5;aa;weighted_voting;0,981382979;0,690957447;0,489583333
25%;graph;user;5;cn;weighted_voting;0,981382979;0,690957447;0,489583333
25%;graph;user;5;ew;weighted_voting;0,981382979;0,690957447;0,4375
25%;graph;user;5;jn;weighted_voting;0,981382979;0,690957447;0,489583333
25%;graph;user;5;pa;weighted_voting;0,981382979;0,690957447;0,489583333
25%;graph;user;5;waa;weighted_voting;0,981382979;0,690957447;0,441710993
25%;graph;user;5;wcn;weighted_voting;0,981382979;0,690957447;0,441710993
25%;graph;user;5;wpa;weighted_voting;0,981382979;0,690957447;0,441710993
25%;graph;user;10;aa;weighted_voting;0,994680851;0,588031915;0,489583333
25%;graph;user;10;cn;weighted_voting;0,994680851;0,588031915;0,489583333
